topicName,subtopic,sub-subgroup,tweet,hashtags,emojis,Date
Sports,Sports News,,Do they Know it's Christmas ~ Band Aid 1984 https://t.co/eB5kUUuwYi via @YouTube help out @orlando @abcnews @treedcat @espn @treemanshow1,,,13-Feb-16
Art and Entertainment,Social Media,Vine,RT @christiand: LIFE IS GOOD😊,,blush,9-Feb-13
Sports,Football,,"RT @UWCarbone: Aaron Rodgers has never missed an #AndyNorthFriends event.  THANK YOU for the continued support, @aaronrodgers12! 💚💛 https://t.co/TEoEaZkhAc",AndyNorthFriends,"green_heart,yellow_heart",22-Dec-15
Sports,Soccer,,@equipedefrance @StadeFrance will be an amazing game,,,28-Jun-14
Art and Entertainment,Music,,Literally freaking out over the This Is What You Came For co-write situation with @taylorswift13. I'm actually obsessed with that song,,,22-Sep-13
Sports,Boxing,,"RT @bjpenndotcom: Conor McGregor's coach just dropped a hint about a fight with Floyd Mayweather.
@TheNotoriousMMA @FloydMayweather
https://t.co/nSsgD8JtVD",,,2-Sep-12
Art and Entertainment,Music,,@lanasbae @Michael5SOS idk what happend to this girls today in day 😧😞😖😔😓😫,,"anguished,disappointed,confounded,pensive,sweat,tired_face",14-Jul-16
Art and Entertainment,Social Media,,RT @lottietommo: @1Napolitano I'm actually gonna make you use it so,,,31-Jul-14
Art and Entertainment,Social Media,YouTube,@danisnotonfire WOOO! OMG!🎉😬,,"tada,grimacing",13-Jan-15
Sports,Sports News,,RT @MatchroomBoxing: .@ant_crolla will be on @SkySportsNewsHQ shortly!,,,20-Jul-12
Sports,Wrestling,,Now @KalistoWWE faces Ryback for the United States Championship on #WWEPayback kickoff! #WWE @WWE /m,"WWEPayback,WWE",,29-Aug-14
Sports,Basketball,,RT @NBCSports: .@StephenCurry30 is active for @warriors in Game 4 vs. @HoustonRockets. #NBAPlayoffs https://t.co/YSRgXkdP6e https://t.co/KCyGj3HJGm,NBAPlayoffs,,14-Dec-14
Sports,Soccer,,"RT @NorwichCityFC: Louis van Gaal readies @ManUtd for 'difficult' test vs City. #ncfc

Inside the United camp: https://t.co/q1NwcnxRbd https://t.co/kCqOZBskO6",ncfc,,22-Jul-13
Sports,Soccer,,RT @LaticsOfficial: TEAM NEWS: Confirmed Latics and @ManUtd line-ups for today's pre-season friendly &gt;&gt; https://t.co/GLdl4G7TNu #wafc https://t.co/XI5leDl44d,wafc,,28-Sep-12
Art and Entertainment,Music News,,"RT @Tha5SOSFamily: RT &amp; Reply:

My #TeenChoice nominee for #ChoiceSummerTour is Sounds Live, Feels Live by @5SOS https://t.co/jIkGW4lEwP","TeenChoice,ChoiceSummerTour",,1-Feb-12
Art and Entertainment,Music,,RT @Real_Liam_Payne: Wow! six years since my audition so much has changed in my life from amazing adventures to life love and happiness thank you for everything,,,22-Jun-14
Art and Entertainment,Music,,"@MostRequestLive  @OnlineRomeo
@MostRequestedLive, i'd like to request #MakeMe by @britneyspears ft.
@G_Eazy, thank you! #MostRequestedLive","MakeMe,MostRequestedLive",,6-Jul-12
Sports,Basketball,,@Nreilly_24_WDE @Dloading real shit,,,19-Nov-12
Art and Entertainment,,,@camerondallas Hiii love❤,,,4-Oct-15
Art and Entertainment,Music,,RT @JacobWhitesides: EUROPE if you'd like to go pre order my debut album i'd really appreciate it https://t.co/7ukt6Wl9dF,,,11-Mar-15
Sports,Skateboarding,,RT @XGames: Logic is gonna perform live tonight at 10 pm CT! #XGames https://t.co/Ea4plbPMzR,XGames,,23-Apr-12
Art and Entertainment,Music,,RT @Ashton5SOS: I'm obsessed with this at the moment https://t.co/YOo6Mx9XIp,,,14-Jul-12
Sports,Soccer,,@celticfc great appointment for a great club Brendon Rodgers will bring you trophies and success,,,24-Aug-15
Art and Entertainment,Entertainment News,,RT @MediaweekAUS: Inside @TVWEEKmag's one-off edition highlighting streaming TV https://t.co/9nOx0hRUZn https://t.co/M1MI3A8DrS,,,30-Jun-13
Art and Entertainment,Movies and TV,TV,"RT @KimKardashian: I love Germany, its Vonderfull here! I love z apple strudel",,,2-Apr-12
Sports,Ice Hockey,,"RT @NHLBruins: ""We need to look for another transitional D-man.” More from today's conference calls: https://t.co/vNLZBXTbOR #NHLBruins",NHLBruins,,19-Sep-14
Sports,Tennis,,"RT @tenniscaptions: Quick hands and blistering backhand volley by Sori!! 🔥

#tennisgifs #MallorcaOpen @sorana_cirstea https://t.co/LGOavXMLQb","tennisgifs,MallorcaOpen",fire,28-Aug-13
Art and Entertainment,,,RT @Nashgrier: Trying so hard not to get addicted to Pokémon,,,20-May-13
Art and Entertainment,,,RT @EW: .@theLaurenGraham introduces #GilmoreGirls to the world in a new #Netflix promo (!!!): https://t.co/aduwGnoknX 😍☕️ https://t.co/yin1X7pfK4,"GilmoreGirls,Netflix","heart_eyes,coffee",4-Apr-13
Art and Entertainment,Social Media,YouTube,"RT @joanneprada: I worked as a CNA for only 2 days and sadly my client has died. Ironically, I'm in the will. https://t.co/i7ih5X5Yew",,,12-Apr-15
Sports,Soccer,,RT @Louis_Tomlinson: @NiallOfficial @socceraid p.s love the text update every time you tweet me. Cute,,,4-May-12
Art and Entertainment,Music News,,RT @musicnews_facts: Photos of Justin Bieber wakeboarding in Miami yesterday 👀 https://t.co/CLx01W6Vho,,eyes,17-Jun-15
Sports,Football,,"RT @DangeRussWilson: Mission: to Inspire, Change, &amp; Encourage at least 1 Kid at Camp. 

#RWPA16 #RWPA https://t.co/FGaqvRSLPD","RWPA16,RWPA",,1-Jul-14
Sports,Basketball,,"RT @Lakers: .@Dloading provides the fireworks with 20 pts, 11 reb, 6 ast &amp; 3 stl, as the Lakers open up Summer League in style. https://t.co/a3ekuGJcOG",,,20-May-12
